IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.154.147.87,443,443,TRUE,FRA,Europe,Frankfurt,274,2.4
34.91.57.107,443,443,TRUE,FRA,Europe,Frankfurt,193,2.25
34.154.232.106,443,443,TRUE,FRA,Europe,Frankfurt,256,1.88
34.154.4.212,443,443,TRUE,FRA,Europe,Frankfurt,209,1.48
34.80.157.249,443,443,TRUE,TPE,Asia Pacific,Taipei,83,1.12
34.80.157.249,443,443,TRUE,TPE,Asia Pacific,Taipei,57,1.04
34.80.157.249,443,443,TRUE,TPE,Asia Pacific,Taipei,50,1.03
34.97.64.116,8443,443,TRUE,KIX,Asia Pacific,Osaka,78,0.87
34.97.64.116,8443,443,TRUE,KIX,Asia Pacific,Osaka,184,0.87
34.97.64.116,8443,443,TRUE,KIX,Asia Pacific,Osaka,103,0.81
34.89.145.14,443,443,TRUE,FRA,Europe,Frankfurt,322,0.76
34.89.158.25,443,443,TRUE,FRA,Europe,Frankfurt,341,0.61
34.97.85.97,443,443,TRUE,KIX,Asia Pacific,Osaka,76,0.6
34.97.85.97,443,443,TRUE,KIX,Asia Pacific,Osaka,170,0.6
34.118.107.144,443,443,TRUE,FRA,Europe,Frankfurt,370,0.51
34.89.142.227,443,443,TRUE,FRA,Europe,Frankfurt,254,0.5
34.154.143.140,443,443,TRUE,FRA,Europe,Frankfurt,326,0.48
35.200.238.235,443,443,TRUE,BOM,Asia Pacific,Mumbai,339,0.46
35.234.77.198,443,443,TRUE,IAD,North America,Ashburn,203,0.45
34.89.154.139,443,443,TRUE,FRA,Europe,Frankfurt,310,0.44
34.65.81.135,443,443,TRUE,FRA,Europe,Frankfurt,315,0.43
34.159.75.128,443,443,TRUE,FRA,Europe,Frankfurt,377,0.3
34.65.185.49,443,443,TRUE,FRA,Europe,Frankfurt,322,0.21
35.246.136.163,443,443,TRUE,FRA,Europe,Frankfurt,364,0.21
34.65.78.31,443,443,TRUE,FRA,Europe,Frankfurt,280,0.19
34.116.133.0,443,443,TRUE,FRA,Europe,Frankfurt,387,0.19
34.89.238.145,443,443,TRUE,FRA,Europe,Frankfurt,273,0.19
34.65.185.49,443,443,TRUE,FRA,Europe,Frankfurt,319,0.18
34.90.2.209,443,443,TRUE,FRA,Europe,Frankfurt,330,0.17
34.89.237.7,443,443,TRUE,FRA,Europe,Frankfurt,255,0.17
34.89.158.25,443,443,TRUE,FRA,Europe,Frankfurt,315,0.16
34.89.156.120,443,443,TRUE,FRA,Europe,Frankfurt,327,0.15
34.90.2.209,443,443,TRUE,FRA,Europe,Frankfurt,320,0.15
34.159.69.238,443,443,TRUE,FRA,Europe,Frankfurt,399,0.12
34.32.128.54,443,443,TRUE,FRA,Europe,Frankfurt,339,0.12
34.118.17.244,443,443,TRUE,FRA,Europe,Frankfurt,386,0.12
34.65.200.7,443,443,TRUE,FRA,Europe,Frankfurt,318,0.11
34.89.152.161,443,443,TRUE,FRA,Europe,Frankfurt,314,0.11
34.65.200.7,443,443,TRUE,FRA,Europe,Frankfurt,334,0.1
34.116.251.158,443,443,TRUE,FRA,Europe,Frankfurt,330,0.06
34.154.70.242,443,443,TRUE,FRA,Europe,Frankfurt,314,0.06
34.34.7.124,443,443,TRUE,FRA,Europe,Frankfurt,270,0.05
34.90.140.37,443,443,TRUE,FRA,Europe,Frankfurt,369,0.05
34.118.6.115,443,443,TRUE,FRA,Europe,Frankfurt,351,0.04
34.154.199.12,443,443,TRUE,FRA,Europe,Frankfurt,324,0.04
34.89.238.145,443,443,TRUE,FRA,Europe,Frankfurt,285,0.04
34.154.172.150,443,443,TRUE,FRA,Europe,Frankfurt,316,0.04
34.159.248.147,443,443,TRUE,FRA,Europe,Frankfurt,352,0.04
35.246.171.149,443,443,TRUE,FRA,Europe,Frankfurt,327,0.03
34.65.215.201,443,443,TRUE,FRA,Europe,Frankfurt,337,0.03
34.154.13.211,443,443,TRUE,FRA,Europe,Frankfurt,326,0.03
35.204.249.160,443,443,TRUE,FRA,Europe,Frankfurt,278,0.02
34.159.238.41,443,443,TRUE,FRA,Europe,Frankfurt,405,0.02
35.187.229.127,80,8080,FALSE,SIN,Asia Pacific,Singapore,1,0
34.87.49.28,80,80,FALSE,SIN,Asia Pacific,Singapore,2,0
34.142.189.80,80,80,FALSE,SIN,Asia Pacific,Singapore,2,0
34.87.49.28,80,80,FALSE,SIN,Asia Pacific,Singapore,2,0
34.87.49.28,443,443,TRUE,SIN,Asia Pacific,Singapore,2,0
34.126.74.50,80,80,FALSE,SIN,Asia Pacific,Singapore,12,0
34.87.49.28,80,80,FALSE,SIN,Asia Pacific,Singapore,15,0
34.101.169.73,80,8080,FALSE,CGK,Asia Pacific,Jakarta,17,0
34.101.169.73,80,8080,FALSE,CGK,Asia Pacific,Jakarta,18,0
34.117.254.68,80,80,FALSE,SIN,Asia Pacific,Singapore,20,0
34.110.234.120,80,80,FALSE,SIN,Asia Pacific,Singapore,23,0
34.160.118.77,80,80,FALSE,SIN,Asia Pacific,Singapore,26,0
34.36.183.121,80,80,FALSE,SIN,Asia Pacific,Singapore,27,0
34.111.135.19,80,80,FALSE,SIN,Asia Pacific,Singapore,29,0
34.92.5.235,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,37,0
34.92.5.235,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,37,0
34.92.5.235,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,38,0
34.92.5.235,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,39,0
34.93.79.152,80,80,FALSE,BOM,Asia Pacific,Mumbai,60,0
34.93.226.165,80,80,FALSE,BOM,Asia Pacific,Mumbai,60,0
34.93.79.152,80,80,FALSE,BOM,Asia Pacific,Mumbai,60,0
34.93.79.152,80,80,FALSE,BOM,Asia Pacific,Mumbai,61,0
34.93.79.152,80,80,FALSE,BOM,Asia Pacific,Mumbai,61,0
34.93.226.165,80,80,FALSE,BOM,Asia Pacific,Mumbai,61,0
34.93.226.165,80,80,FALSE,BOM,Asia Pacific,Mumbai,61,0
34.101.169.73,80,8080,FALSE,CGK,Asia Pacific,Jakarta,64,0
34.93.226.165,80,80,FALSE,BOM,Asia Pacific,Mumbai,64,0
34.64.94.216,80,80,FALSE,ICN,Asia Pacific,Seoul,70,0
34.64.94.216,80,80,FALSE,ICN,Asia Pacific,Seoul,72,0
34.64.94.216,80,80,FALSE,ICN,Asia Pacific,Seoul,72,0
34.80.149.198,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,78,0
34.82.48.25,80,80,FALSE,SEA,North America,Seattle,156,0
34.82.48.25,443,80,FALSE,SEA,North America,Seattle,156,0
35.247.124.181,80,80,FALSE,SEA,North America,Seattle,156,0
34.82.48.25,80,80,FALSE,SEA,North America,Seattle,156,0
34.82.76.253,443,443,TRUE,SEA,North America,Seattle,157,0
34.82.76.253,80,80,FALSE,SEA,North America,Seattle,158,0
34.82.48.25,80,80,FALSE,SEA,North America,Seattle,158,0
34.82.48.25,443,80,FALSE,SEA,North America,Seattle,158,0
34.105.49.234,80,80,FALSE,SEA,North America,Seattle,159,0
34.102.111.127,80,80,FALSE,LAX,North America,Los Angeles,161,0
34.82.188.91,443,443,TRUE,SEA,North America,Seattle,163,0
34.127.24.20,80,80,FALSE,SEA,North America,Seattle,164,0
34.127.24.20,80,80,FALSE,SEA,North America,Seattle,168,0
34.82.48.25,443,80,FALSE,SEA,North America,Seattle,168,0
34.127.24.20,80,80,FALSE,SEA,North America,Seattle,180,0
34.32.128.54,443,443,TRUE,FRA,Europe,Frankfurt,193,0
34.102.111.127,80,80,FALSE,LAX,North America,Los Angeles,195,0
34.147.101.117,2096,80,FALSE,AMS,Europe,Amsterdam,198,0
34.65.19.239,443,443,TRUE,FRA,Europe,Frankfurt,199,0
34.147.101.117,2083,80,FALSE,AMS,Europe,Amsterdam,199,0
34.147.101.117,2082,80,FALSE,AMS,Europe,Amsterdam,199,0
34.147.101.117,2052,80,FALSE,AMS,Europe,Amsterdam,199,0
34.175.161.245,2083,80,FALSE,MAD,Europe,Madrid,200,0
34.147.101.117,2082,80,FALSE,AMS,Europe,Amsterdam,200,0
34.175.99.73,2095,80,FALSE,MAD,Europe,Madrid,200,0
34.175.99.73,2086,80,FALSE,MAD,Europe,Madrid,200,0
34.175.244.157,2095,80,FALSE,MAD,Europe,Madrid,200,0
34.175.161.245,2096,80,FALSE,MAD,Europe,Madrid,201,0
34.175.244.157,2086,80,FALSE,MAD,Europe,Madrid,202,0
34.175.244.157,2052,80,FALSE,MAD,Europe,Madrid,202,0
35.187.41.171,2083,80,FALSE,CDG,Europe,Paris,202,0
34.175.95.58,2086,80,FALSE,MAD,Europe,Madrid,202,0
34.175.133.251,2082,80,FALSE,MAD,Europe,Madrid,202,0
34.175.244.157,2082,80,FALSE,MAD,Europe,Madrid,202,0
34.175.244.157,2053,80,FALSE,MAD,Europe,Madrid,202,0
34.147.101.117,2087,80,FALSE,AMS,Europe,Amsterdam,202,0
34.175.95.58,2095,80,FALSE,MAD,Europe,Madrid,203,0
34.175.168.99,2083,80,FALSE,MAD,Europe,Madrid,203,0
34.175.7.231,2053,80,FALSE,MAD,Europe,Madrid,203,0
34.175.133.251,2096,80,FALSE,MAD,Europe,Madrid,203,0
34.175.161.245,2052,80,FALSE,MAD,Europe,Madrid,203,0
34.147.101.117,2087,80,FALSE,AMS,Europe,Amsterdam,203,0
34.175.95.58,2052,80,FALSE,MAD,Europe,Madrid,203,0
34.175.161.245,2053,80,FALSE,MAD,Europe,Madrid,203,0
34.175.7.231,2052,80,FALSE,MAD,Europe,Madrid,203,0
34.175.168.99,2087,80,FALSE,MAD,Europe,Madrid,203,0
34.175.161.245,2082,80,FALSE,MAD,Europe,Madrid,204,0
34.175.133.251,2083,80,FALSE,MAD,Europe,Madrid,204,0
34.175.244.157,2096,80,FALSE,MAD,Europe,Madrid,204,0
34.175.95.58,2087,80,FALSE,MAD,Europe,Madrid,204,0
34.175.133.251,2087,80,FALSE,MAD,Europe,Madrid,204,0
34.175.99.73,2082,80,FALSE,MAD,Europe,Madrid,204,0
34.175.244.157,2083,80,FALSE,MAD,Europe,Madrid,204,0
34.147.101.117,2053,80,FALSE,AMS,Europe,Amsterdam,204,0
34.175.168.99,2082,80,FALSE,MAD,Europe,Madrid,205,0
34.122.123.146,8080,80,FALSE,ORD,North America,Chicago,205,0
35.239.252.197,80,80,FALSE,ORD,North America,Chicago,206,0
34.175.99.73,2052,80,FALSE,MAD,Europe,Madrid,206,0
34.122.123.146,8080,80,FALSE,ORD,North America,Chicago,206,0
34.122.123.146,8080,80,FALSE,ORD,North America,Chicago,206,0
34.135.226.181,80,80,FALSE,ORD,North America,Chicago,206,0
35.225.207.21,80,80,FALSE,ORD,North America,Chicago,206,0
35.232.39.116,80,80,FALSE,DFW,North America,Dallas,207,0
34.175.7.231,2087,80,FALSE,MAD,Europe,Madrid,207,0
34.175.161.245,2095,80,FALSE,MAD,Europe,Madrid,208,0
34.175.99.73,2096,80,FALSE,MAD,Europe,Madrid,208,0
34.147.101.117,2095,80,FALSE,AMS,Europe,Amsterdam,208,0
34.147.101.117,2053,80,FALSE,AMS,Europe,Amsterdam,208,0
34.147.101.117,2086,80,FALSE,AMS,Europe,Amsterdam,208,0
34.175.161.245,2087,80,FALSE,MAD,Europe,Madrid,209,0
34.147.101.117,2095,80,FALSE,AMS,Europe,Amsterdam,209,0
34.147.101.117,2083,80,FALSE,AMS,Europe,Amsterdam,209,0
34.147.101.117,2096,80,FALSE,AMS,Europe,Amsterdam,209,0
